,description,value
1706,"<html><body><ul><li>String Experience in  <strong>Azure</strong> creating-managing <strong>Kubernetes</strong> clusters , deployments using <strong>HELM </strong>Charts , <strong>dockers</strong>, <strong>Terraform/Ansible</strong>, Chef, puppet.</li></ul><ul><li>Experience in Azure <strong>Cloud Administratio</strong>n-developing and overseeing the systems monitoring, backup, replication, clustering and fail over strategies</li></ul><ul><li>Experience in deploying -configuring scalable web applications using Azure cloud services -Azure VMs, File system management, Azure blob or S3 storage ,Azure AD,  Load Balancers.</li></ul><ul><li>Experience in <strong>Linux</strong> , <strong>VM</strong> <strong>administration</strong> and managing web services-installation, automation, patches and upgrade, backup, performance tuning, troubleshooting server OS issues.</li></ul></body></html>",Bengaluru
1707,"<html><body><p>Responsible for developing control algorithm for new braking systems (ESP, iBooster, ESPHev, IPB, DPB, Brake By Wire, Vehicle Dynamics 2.0) deployed in Electric and Autonomous vehicles. Application software development in compliance with ASPICE.</p></body></html>",Bengaluru
1708,"<html><body><p><strong>Project management (planning, coordination, tracking)</strong></p><ul><li>Estimation of effort, scheduling, feasibility  </li><li>Commitment and scheduling of product variant / generation roadmap for features (e.g.<br/>Post-Build-Loadable)</li><li>Project plan, Contracting for resource and competence also for sub projects, integration and test</li><li>Tracking (budget, features, roadmap, quality)</li><li>Project risk management, Continuously Up-to-date project status and forecast for<br/>project management and reporting</li></ul><p><strong>Technical Skills  </strong></p><ul><li>Expertise in  Embedded C language</li><li>Development on BSW packages Autosar Communication ( CAN, Ethernet, Lin) MCAL, Mem package, Eep BSWM/ECUM , Watchdog  development &amp; Testing</li><li>Integration &amp; Configuration of Autosar components &amp; packages for AR4.2/4.3</li><li>Strong microcontroller knowledge</li><li>Knowledge on  Autosar architecture  </li><li>Embedded software de-bugging skills</li><li>Unit &amp; component level testing using CANTATA/ RTRT tool.</li><li>Requirement tools Doors,  Jira.</li><li>Configuration Management tools , Clearcase, MKS, ALM.</li><li>Design using Enterprise architect  ( EA) tool</li><li>ASPICE process knowledge</li></ul></body></html>",Bengaluru
1709,"<html><body><p>Oracle PL/SQL programming, Oracle 12c performance tuning, data modeling concepts and tool (preferably Toad DM),</p><p>data warehousing concepts, SAP BODS / Any ETL tool experience  (not mandatory but better to have),</p><p>Good hands on experience in Parsing and processing of XML and JSON file data, Data Visualization and reporting.</p><p>working experience in at least one data warehouse project (better to have)</p><p>Experience on SCRUM processes (better to have)</p><p>Working knowledge on any version management system (preferably SVN)</p><p>Knowledge on Automotive RMI data (better to have)</p><p>experience on Data Analytics and BI tools.</p></body></html>",Bengaluru
1710,"<html><body><p>Ø  Strong understanding across Azure and AWS infrastructure components (server, storage, network, database, and applications) to deliver end to end Cloud Infrastructure engagements that includes assessment, design and migrations</p><p>Ø  Good understanding about the Azure and AWS blue green implementation with various use cases</p><p>Ø  Design customer Cloud environments with a focus on Azure &amp; AWS and demonstrate Technical Cloud Architectural knowledge, playing a vital role in the design of production, staging, QA and development Cloud Infrastructures</p><p>Ø  Provide leadership in infrastructure migration methodologies and techniques including mass application movements into the cloud including implementation of Azure or AWS within large regulated enterprise environments</p><p>Ø  Azure Networking Experience (VNET, Subnet, Load Balancing, VNET peering, VPN)</p><p>Ø  Depth and breadth experience on Azure IaaS, i.e. experience in migrating large volume of servers to the cloud in variety of scenarios with massive workloads</p><p>Ø  Operating system: Expert knowledge in Windows and Unix flavors.  Advance knowledge in networking, virtualization, automation, scripting</p><p>Ø  Strong troubleshooting skills</p><p>Ø  Azure or AWS based Cloud Architecture and migration skills and experience</p><p>Ø  Experience on driving migration project end to end on process and technical front</p><p>Ø  Excellent communication, interpersonal &amp; presentation skills</p><p>Ø  Reliability, Ability to work under pressure and ability to be precise in communication are must</p><p>Ø  Ability to learn new technologies quickly</p><p>Ø  Nurture Cloud computing expertise internally and externally to drive Cloud Adoption</p><p>Ø  Experience in leading a team applying all elements of Technical Consulting</p><p>Ø  Understands and can articulate the technical merits and value of Cloud computing</p><p>Ø  Excellent Knowledge in MS-Visio</p><p>Ø  Minimum of 3 technical certifications</p></body></html>",Bengaluru
1711,"<html><body><p>Exp: 1 to 4 years in Core Java</p><p>·       Proficiency in Java, OOPS based software development</p><p>-       Proficiency in device side JAVA software development</p><p>-       Proficiency in cyber secuirity and secuirity certification concepts</p><p>·       Working experience with Linux based systems</p><p>·       Should be able to independently handle Continuous Integration (CI) and Continuous Testing (CT) activities</p><p>·       Should have a fair understanding of SDLC life cycle</p><p>·       Sound knowledge and working experience on Embedded software and systems</p><p>·       Overview and working experience on IoT ecosystem</p><p>·       Strong software debugging and analytical skills</p><p>·       Should be able to work as a team member in an agile methodologies based environment</p><p>Strong communication skills, Japanese language skills would be an advantage</p></body></html>",Bengaluru
1712,"<html><body><p><strong>Key words </strong>:  Angular version 6+  ,   2-3 years hands-on development experience ,  Type script ,  REST API ,  JAVA Script , HTML 5 , CSS and Boot</p><p> </p><p> </p><p><strong>Skills Required:</strong><br/>JavaScript &amp; TypeScript<br/>HTML5, CSS3, Bootstrap<br/>SCSS/SASS<br/>Git/Github<br/>Jasmine, Karma, Cypris</p><p><strong>Job Description:</strong></p><ul><li>Candidate should have strong fundamentals of UIU design concepts</li><li>Hands on experience of development in enterprise applications having frontend built using Angular</li><li>Good proficiency in JavaScript &amp; Typescript</li><li>Experience building large scale enterprise web applications by consuming RESFTful services and APIs.</li><li>Develop application code and unit test</li><li>Proficiency in version control (Git) and good development practices.</li><li>Good Knowledge on Agile Development Methodology</li><li>Excellent communication skills (written, verbal, presentation and interpersonal).</li><li>Proven proficiency in grasping requirements and building illustrative features with minimal specifications.</li><li>Responsive design experience a plus.</li></ul><p><strong>Technical Skills:</strong></p><ul><li>Minimum 2-3 years hands-on development experience in Web/Enterprise projects with deep knowledge in latest version of Angular (6, 8 &amp; above)</li><li>Willing to work in SAP Spartacus (Spartacus is a lean, Angular-based JavaScript storefront for SAP Commerce Cloud. Spartacus talks to SAP Commerce Cloud exclusively through the Commerce REST API)</li><li>Advanced knowledge in the programming languages (JavaScript, TypeScript)</li><li>Experience with modern web technologies and techniques such as HTML5, CSS3, CSS framework (Bootstrap), CSS preprocessor (SASS/SCSS/LESS)</li><li>Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery</li><li>Experience in RxJs, NgRx, Redux, hands-on third-party library integration</li><li>Having experience in package management using Yarn/npm</li><li>Working experience of unit test in angular using Jasmine and Karma.</li><li>Proficient in Full Responsive Web Application</li><li>Good understanding of code formatter like Prettier &amp; TSLint</li><li>Understanding of code hosting platform for version control and collaboration (GitHub)</li></ul></body></html>",Bengaluru
1713,"<html><body><p>ØJenkins</p><p>ØPython,</p><p>ØGroovy and shell scripting</p><p>ØGIT</p><p>ØDocker</p><p>ØHTML,  BootStrap, CSS</p><p>ØAutomation capability</p></body></html>",Bengaluru
1714,"<html><body><p>ØKnow how of Test Methodologies</p><p>ØPython Scripting</p><p>ØTML, BITs</p><p>ØCAPL scripting</p><p>ØJenkins</p><p>ØAutomation Tests</p><p> </p><p>ØSpecialists in components (ex. BT, Wi-Fi, GSM, Security etc.)</p></body></html>",Bengaluru
1715,<html><body><p>8 - 12 years experience in SW / Test Project management.</p><p>Ability to handle complete SW projects.</p><p>Ability to negotiate with multiple stake holders.</p><p>PMP certification is an added advantage.</p></body></html>,Bengaluru
1716,"<html><body><p>Candidate is responsible for the activities:</p><p>a.Troubleshooting and debugging field failures.</p><p>b. Providing technical support for hardware issues.</p><p>c. Manufacturing Failure Analysis/ Root Cause analysis.</p><p>d. Should be able to understand the EMC, Safety, and environmental standards.</p><p>e. Interaction with stakeholders</p><p>To sum up the candidate will be an interface to Quality team from ECU electronic HW perspective.</p></body></html>",Bengaluru
1717,"<html><body><ul><li>Min 6-7 years of total IT experience</li><li>3+ years of working experience in Azure, specifically on Azure BI components</li><li>Should have worked at least with 3 End to End Azure BI projects</li><li>Expert  with Azure PaaS components</li><li>Key Responsibilities : Strong Experience in Azure ingestion components</li><li>Power BI experience, Azure DataBricks, Cost Monitoring, Azure AD</li><li>Ability to quickly ramp up on new Azure Components which comes in Azure Roadmap</li><li>Understands Azure architecture styles/patterns</li></ul><p> </p></body></html>",Bengaluru
1718,"<html><body><ul><li>Overall 5 – 7 years of relevant IT experience</li><li>Experience in implementing at least 2 end to end Hadoop projects</li><li>Min 4+ year experience on MS-Azure with HDInsights / Databricks</li><li>Min 4+ years of experience on SparkCore, PySpark, Scala, Hive, Hbase, SparkSQL</li><li>Min 2+ years of experience with PostgreSQL</li><li>Experience with Azure Data Factory (ADF), Blob, ADLS.</li><li>Experience with NoSQL databases such as HBase, CosmosDB</li><li>Excellent communication</li></ul><p> </p></body></html>",Bengaluru
1719,"<html><body><p>We are in the exciting and cutting-edge space of autonomous driving. We are looking for passionate and experienced engineers who would join us in this journey and design algorithms fit for Level 3 – Level 5 autonomous systems</p><p>Here’s what to expect</p><p>1.You are developing video perception algorithms for unsolved problems in the technology area – perception for autonomous drive vehicles.</p><p>2.You have to explain why something works or not using data. And what next for the things not working with the reduced cost of labelling.</p><p>3.You have to find that elusive data through innovative algorithms,</p><p> Your job would involve</p><p>1.Looking at the nature of the data</p><p>2.Current AI/DL algorithm performance</p><p>3.Derive insights or patterns in failures</p><p>4.Define a hypothesis for the solution making.</p><p>5.Define Experiments for hypothesis testing</p><p>6.Define/Review the techniques/methods in deep learning for experiments</p><p>7.Analyze the results of experiments</p><p>8.Define the next set of data or experiments forward</p><p> 9.Define the targets for the current sprint</p><p>10.Review, Agree on the experiments</p><p>11.Ensure delivery with the right process for quality</p><p>Skills that we would love you to have, and which you will definitely have after working with us!</p><p>1.Intuitive understanding of the DL math, model behaviors, techniques already available in open world</p><p>2.TensorFlow, Python, Pandas, Numpy, DASH, Jupyter notebook, etc..</p><p>3.Most importantly – data aptitude</p><p> </p></body></html>",Bengaluru
1720,"<html><body><p><strong>Your responsibilities:</strong></p><p>·       Leading localization projects (Loc1.0/Loc2.0 projects)</p><p>-          Business case evaluation by involving all stakeholders</p><p>-         Cost Engineering and understanding of product/part costing</p><p>-          Project management for localisation projects</p><p>-          Collaborate with all stakeholders for successful localization of projects</p><p>-          Project audit readiness, preparation</p><p>·       Tracking and monitoring of localization projects</p><p>-          Track and monitoring, Project budget tracking</p><p>-          Management review for localization projects</p><p>-          Support strategic topics</p><p>·       Digitalisation</p><p>-          I4.0 in the SE projects</p><p>-          Drive digital automation projects within department</p><p> </p></body></html>",Bengaluru
1721,"<html><body><ul><li>Experience designing technology components for enterprise solutions and defining solution and reference architectures using Azure services (IaaS and PaaS).</li><li>Experience in deploying Azure services such as Compute Services, Data Services, Azure VMs, Azure Storage, VNets, Resource Manager, Azure SQL, Azure Backup, Cloud Services, AppServices, Azure Active Directory, API Management, Service Bus.</li><li>Infrastructure Configuration Solutions, such as Azure Automation, Terraform, Azure Desired State Configuration, Puppet, Chef, or others.</li><li>Well versed in Azure Well-Architected framework</li><li>Experience with PowerShell or Azure CLI for performing and automating tasks and deploying resources.</li><li>Knowledge of cloud security controls including tenant isolation, encryption (at rest/in transit, key management, vulnerability assessments, application firewalls, SIEM, etc.</li><li>DevOps: Appreciates the CI and CD model and always builds to ease consumption and monitoring of the system. Experience with Maven (or Gradle or SBT) and Git preferred.</li><li>A natural enthusiasm for and overall broad knowledge of a range of technologies, with an interest in emerging technologies and research.</li><li>Hands-on experience with Microsoft.NET and web technologies is also required (e.g. SPFX, HTML 5, React JS, Angular JS, Bootstrap, Node JS, ASP.NET, C#, XML, CSS, HTML, Web Services, WCF, SQL, JSON, jQuery etc.)</li><li>Working knowledge on configuring and managing continuous integration using TFS, Sonar, SVN (any one) etc.,</li><li>Working experience with Microsoft,2019 and O365 (SharePoint 2019 &amp; Office 365 Suite (leveraging Graph, Delve, Planner, One Drive, Sway and Video features) is a MUST)</li><li>Experience with modern web frameworks and tool chains such as: Node.JS, React, Yeoman, and Git</li><li>Knowledge of the features and architectural design of Office 365 - specifically SharePoint Online, Teams, PowerAutomate, and/or PowerApps</li><li>A curiosity and passion for understanding and solving problems with technology</li><li>Ability to work and collaborate within a multidisciplinary delivery team.</li></ul></body></html>",Bengaluru
1722,"<html><body><ul><li>Design of Analog, Digital and Communication interfaces for ECU/VCU. Design of power supply and H-bridge modules.</li><li>Responsible for overall design, release and maintenance of ECU/VCU modules.</li></ul><p> </p></body></html>",Bengaluru
1723,"<html><body><p>Analyse system requirements, system design and develop software requirements and design at SW level, implement and test</p><p>Handle day-to-day work efficiently and independently.</p><p>Perform detailed design, code and SW Test specification</p><p> </p></body></html>",Bengaluru
1724,"<html><body><p>Experienced in software development and design (using Embedded C/Matlab/Other modeling tools)<br/>Experience with RTOS, CAN , Flexray, different networking protocol<br/>Experience in concurrently handling multiple projects. Should have atleast 1-3 years of prior experience as Project Manager<br/>Strong process management, project management, stakeholder management, requirement management and team handling skills<br/>Willingness to provide hands on guidance to the project teams as part of steering the projects forward<br/>Excellent Communication and Interpersonal skills is a must<br/>Automotive system knowledge (ECU, Sensors, Software) and technical mindset<br/>Experience in working with International /Inter-Cultural teams<br/>Hands on experience in Project Management Tools (Scheduling, Defect Tracking, Metrics)<br/>Ability to understand and take decision on technical proposals</p><p>Added advantage on any project management certification<br/>Good knowledge of CMMI / ISO /ASPICE quality standard</p></body></html>",Bengaluru
1725,"<html><body><p><u>Operation/Execution Logistics Skills:</u></p><p><u> </u></p><p>·        Rollout of transport management system, hand holding for operations stabilization</p><p>·        Consolidation and deconsolidation center management (daily calls and preparation)</p><p>·        First point of contact for customers (LKAM, Logistics Key Account Manager)</p><p>·        Operational management</p><p>·        LSP management - deviation, escalation, exception management</p><p>·        Transport order quality check and approval.</p><p>·        Creation of transport orders (need based).</p><p>·        Daily freight optimization, load balancing LSP assignments</p><p>·        Transport order status management</p><p>·        Track and trace of the shipments</p><p>·        Transport data analysis and optimization</p><p>·        Claims management support</p><p>·        Emergency freight management</p><p>·        Data gathering for future analysis and improvement Projects.</p><p>·        RFQ mapping &amp; involvement in tendering</p><p>·        Weekly/Monthly consolidated KPI reporting &amp; required dashboards.</p><p>·        Savings potential analysis in fine distribution network and support implementation with internal customers</p></body></html>",Bengaluru
1726,"<html><body><p>Tasks :</p><p>As a Scrum Master / Product Owner you will optimise the framework conditions for the successful, agile development of our Automation framework and you will bring agile ways of thinking and methods into the team and organisation.</p><ul><li>You will supervise and advise one or more cross-functional, international teams with varying degrees of agile culture and motivate or support agile development and scaling.</li><li>You ensure the flow of information both within the team and between the individual stakeholders and create transparency through suitable processes and agile key figures.</li><li>You organise the regular Scrum meetings, prepare them and take over their moderation.</li><li>You drive the agile mindset in the company and support change and digital transformation.</li><li>You regularly exchange best practices with the team in the ""Agile Center"".</li></ul><p>You will also bring in experience around Test Project management with Project Planning, Estimations, Customer interfacing, SW Test Delivery management, Quality adherence, Risk Management, Procurement planning, Asset Management, Competence management,  Test Metric management, Project audits/reviews, QCD control. </p><p>Importantly you will have deeper knowledge of</p><p>•    Requirements Analysis, Understanding of Architecture/Design/Implementation of SW, and Development &amp; Execution of SW &amp; System Tests for ADAS Software.<br/>•    Automation Framework development &amp; execution                                                          <br/>•    Test Documentation &amp; metrics and Project representations in review meetings            •    Effort Estimations for tasks/work packages/projects<br/>•    Ensuring timely completion &amp; Delivery of Tasks.<br/>•    Ensure Process compliance with respect to Process Landscape and ASPICE and ISO26262.<br/><br/>Required Skill-Set:<br/>•    Certified Scrum Master with experience on Automotive product                                        •    Working experience in Embedded Automotive System Testing &amp; Test Automation Framework                                                                                                        •    Competent in Programming Languages CAPL, C, C++, Python<br/>•    Vector Automotive Test Tools (e.g.: Vector CANoe, CANape, CANstress, vFlash etc.).<br/>•    Vector Test Automation Tools like Open Test, vTestStudio, TAE, DIVA etc<br/>•    Experience in Automotive Communication Protocols (CAN, CAN FD, FlexRay &amp;                  Ethernet) and Diagnosis (UDS, KWP2000, etc.).                                              •    Experience in Requirements management tools like DOORS, ALM<br/>•    Configuration Management tools like ClearCase, MKS, Jira<br/>•    Knowledge in Automotive Safety Standards (ISO26262) and Processes (ASPICE).<br/>•    Good Communication and Interpersonal skills<br/>•    Ability to mentor the team technically</p></body></html>",Bengaluru
1727,"<html><body><p><em>1.     </em><em>Drafting and reviewing various corporate agreements, frame contracts and other </em></p><p><em>       legal documents in collaboration with relevant business managers.</em></p><p><em>2.     </em><em>Anticipating and identifying legal issues of concern to the organization and </em></p><p><em>        proactively developing practical solutions.</em></p><p><em>3.     </em><em>Supporting business on M&amp;A transactions and post investment integration.</em></p><p><em>4.     </em><em>Providing strategic direction to litigation matters.</em></p><p><em>5.     </em><em>Providing support in respect of anti-trust matters.</em></p><p><em>6.     </em><em>Supporting implementation of data privacy regulations.</em></p><p><em>7.     </em><em>Keeping track of developments in applicable laws and sharing impact with business </em></p><p><em>       teams.</em></p><p><em>8.     </em><em>Research into new laws, regulations and developing legal jurisprudence which may </em></p><p><em>       affect the business and advise on risks and mitigation strategies. </em></p><p><em>9.     </em><em>Conducting training sessions for business stakeholders.</em></p><p><em>10.  </em><em>Participating in global initiatives run by Central Legal function.</em></p><p><em>11.  </em><em>Ensuring adherence to all applicable statutory compliances.</em></p><p><em>12.  </em><em>Supporting e-commerce initiatives of the organization.</em></p><p><em>13.  </em><em>Articulating corporate positions on matters of compliance, regulations and </em></p><p><em>      Government policies.</em></p><p><em>14.  </em><em>Supporting business teams in formulating responses, feedback and representations </em></p><p><em>       to various Government departments, authorities.</em></p><p><em>15.  </em><em>Institutionalizing best practices for litigation and documentation management with an </em></p><p><em>      objective to increase efficiencies.</em></p><p><em>16.  </em><em>Initiating cross functional efforts to drive organizational alignment.</em></p><p><em>17.  </em><em>Developing professional relationships with law firms, senior counsels and consultants </em></p><p><em>      for strengthening legal capabilities.     </em></p></body></html>",Bengaluru
1728,"<html><body><p>·         Experience minimum 4 end to end implementation projects  including 2 S/4 HANA implementation in designing and configuring the quality processes- quality planning, quality inspection, complaint management, analytics, audit management, product development, batch management, quality certificates, FMEA and serial management.</p><p>·         S/4HANA certification in quality management will be preferred.</p><p>·         Should have good domain experience and 2 years of experience in SAP PM or PP module is a must.</p><p>·         Exposure in SAP activate methodology</p><p>·         Should have hands on experience in managing QM module independently in any industry and work with customer business teams and project teams effectively.</p><p>·         Conduct various workshop (like solution architecture, Fit to Standard) with the business teams</p><p>·         Deep integration knowledge with various other modules like Inventory Management, Procurement, Sales, Production, Costing and Extended warehouse management</p><p>·         Knowledge in S/4HANA embedded analytics is an added advantage.</p><p>·         Deep knowledge in setting up interfaces between SAP and non-SAP systems.</p><p>·         Should have experience in the processes adopted for custom developments (WRICEF), unit testing, function testing, integration testing, Go-live and support.</p><p>·         Must have expertise in data migration aspects to independently handle migration activities.</p><p>·         Must have expertise in cut over aspects to independently handle dark phase activities.</p><p>Knowledge of recognized quality tools and debugging will be a definite advantage.</p><p><strong>Technical Skills  Mandatory or Preferred </strong></p><p><strong> SAP QM -Min 5 Yrs Mandatory</strong></p><p><strong> SAP PM or PP - Min 2 Yrs Mandatory</strong></p><p><strong>Integration PP,MM,SD, EWM and CO- Min 2</strong></p><p><strong>Debugging- Preferred Min 1 </strong></p></body></html>",Bengaluru
1729,"<html><body><p><strong>Designation</strong></p><ul><li>Senior Test Engineer</li></ul><p><strong>Responsibilities</strong></p><ul><li>Review of System requirements</li><li>Preparation of test specification &amp; Automation of test cases</li><li>Execution of tests, Reporting of defects</li><li>Preparation of test reports and test metrics</li></ul><p>B Tech (E&amp;C or E&amp;E or Instrumentation)</p><p><strong>Essential Skills</strong></p><ul><li>Prior experience in V&amp;V projects related to Automotive Embedded product/s. Overall work experience of 5-8 years of industry experience</li><li>Familiarity with CAN, LIN, Ethernet protocols and validating the products that use mentioned protocols</li><li>Earlier experience in functional testing of products that have Cyber Security features like Firewall, Key Management, Intrusion detection system/s</li><li>Hands on know-how on below security concepts -encryption/decryption, seed key mechanism, challenge response protocol </li><li>Experience/knowledge on Security testing methods like Fuzz testing, Penetration testing, and Vulnerability scan will be added advantage.</li><li>Should have exp/knowledge of C, C++ (OOPS Concepts), Scripting language. Willing to learn and design Automation solutions</li><li>Prior experience in ALM, DOORS, CCM tools will be added advantage</li></ul><p> </p></body></html>",Bengaluru
1730,"<html><body><ul><li>Key role as System level architect by translating the customer specific requirements into system level requirements &amp; specifications </li><li>Evaluation of system level requirements, interfaces and application requirements into performance, functional &amp; non-functional requirements of each subsystems.</li><li>System analysis for performance, response rate, efficiency, system testing and release as per the V model approach.  </li><li>Interface analysis of system with vehicle level Inputs / outputs, its functions and error reaction.</li><li>Transferring the vehicle level requirements into SW level function requirements</li><li>Defining &amp; execution of system test verification plans, test cases for system / subsystem level </li><li>Active participation in technical discussions and requirements analysis with customers and internal stakeholders</li><li>Support and Development of platform concepts for electric vehicle functionalities</li><li>Implementation of the functional requirement in software for POC</li><li>Preparation of function design, function flow and base calibration</li><li>Troubleshoot the reported problems and resolve them in a timely manner</li><li>Maintain and supervisory of the required inventory</li><li>Timely closure all technical documentation and report release</li><li>Mentoring the trainees / students</li></ul></body></html>",Bengaluru
1731,"<html><body><p><strong>Software Qualification Job Description Template</strong></p><p>We are looking for a results-driven Software Qualifier/Lead to be responsible for designing and running tests on software usability. The Software Tester will conduct tests, analyze the results, and report observations to the SW development team. You will need to interact with Requirement Engineers, SW Dev team in order to understand the requirements, implementation of the product.</p><p>To be successful as a Software Qualifier, you should have a working knowledge of software and test design, the capability to design the SW Test Env.,  run through tests, and the ability to analyze the results. Software Qualifier/Lead should be result-driven, have good communication skills, and up-to-date knowledge of software programming and software test design.</p><p><strong>Software Tester Responsibilities:</strong></p><p>•            Reviewing product/software requirements and preparing test scenarios.</p><ul><li><p>        Designing the SW Test Environment.</p></li></ul><p>•            Executing tests on software usability.</p><p>•            Analyzing test results on impacts, usability and errors or bugs</p><p>•            Preparing reports on all aspects related to the software testing carried out and reporting to the    </p><p>               SW Development team.</p><p>•            Interacting with Requirement Engineers/ SW DevTeam to understand product requirements.</p><p>•            Participating in design reviews and providing input on requirements, product design, and potential problems.</p><p><strong>Software Qualifier Requirements:</strong></p><p>•            A Bachelor's degree in Electronics &amp; Communication, Instrumentation, Computer Science, E&amp;E</p><p>•            Up-to-date knowledge of software test design and testing methodologies.</p><p>•            Working knowledge of test techniques and compatibility with various software programs.</p><p>•            Should have 4 to 10 years of SW dev / Validation, Software In Loop (SIL) exp</p><p>•            Should be well versed with C, Python language</p><p>•            Should have prior experience with Vector VTT,  VectorCAST / RTRT  SW test tools, Virtual ECU   development </p><p>•            Working knowledge of programming.</p><p>•            Excellent communication and critical thinking skills.</p><p>•            Good organizational skills and detail-oriented mindset</p></body></html>",Bengaluru
1732,"<html><body><p><strong>Mandatory / Preferred Skills:</strong></p><p><strong>S No</strong></p><p><strong>Technical Skills</strong></p><p><strong>Mandatory or Preferred?</strong></p><p><strong>Min yrs of Exp </strong></p><p><strong>1</strong></p><p><strong>SAP Technical skills – ABAP, OOABAP, Enhancements, workflow, webservices, REST(OData), BRF+, Workflow, FPM, Webdynpro, UI5/Fiori</strong></p><p><strong>   Mandatory</strong></p><p><strong>10</strong></p><p><strong>2</strong></p><p><strong>SAP HANA – ABAP on HANA, CDS, AMDB, VDM</strong></p><p><strong>   Mandatory</strong></p><p><strong>3</strong></p><p><strong>3</strong></p><p><strong>SQL scripts on SAP HANA DB and Native HANA DB artifacts</strong></p><p><strong>   Mandatory</strong></p><p><strong>2</strong></p><p><strong>4</strong></p><p><strong>Knowledge in BOM, material master, BOM structures, classification, product variants, DMS</strong></p><p><strong>   Mandatory</strong></p><p><strong>5</strong></p><p><strong>5</strong></p><p><strong>SAP PLM/PDM experience – PDM design, solutioning, implementation, integration</strong></p><p><strong>   Mandatory</strong></p><p><strong>5</strong></p><p><strong>6</strong></p><p><strong>IT architecture – Data/application architecture, implementation, stabilization</strong></p><p><strong>   Mandatory</strong></p><p><strong>5</strong></p><p><strong>7</strong></p><p><strong>Agile Development Process</strong></p><p><strong>   Mandatory</strong></p><p><strong>2</strong></p><p><strong>8</strong></p><p><strong>Knowledge on Design and modelling (e.g., tools like Enterprise Architect)</strong></p><p><strong>   Preferred</strong></p><p><strong>2</strong></p><p><strong>9</strong></p><p><strong>SAP PLM change management, CAD integration, VE</strong></p><p><strong>   Preferred</strong></p><p><strong>5</strong></p><p><strong>10</strong></p><p><strong>S/4 HANA implementations, rollouts</strong></p><p><strong>   Preferred</strong></p><p><strong>2</strong></p><p> </p><p><strong> </strong></p><p><strong>Expected Scope of work / Responsibilities: </strong></p><p>·       Minimum 10+ years of experience in SAP PDM&amp;PLM development, configuration and solution mapping</p><p>·       Minimum 3+ years of experience in PDM&amp;PLM domain in discrete manufacturing as solution Architect/Tech lead/Architect/Subject Matter Expert with in-depth process understanding</p><p>·       Should have SAP PDM/PLM implementation, rollout, support, development, migration, consolidation experience</p><p>·       Data modelling and extensibility with features in SAP PLM WebUI and S/4 HANA functionalities for SAP PDM&amp;PLM</p><p>·       Experience in PLM requirements gathering and identifying gaps, converting to functionalities and solutions in SAP PDM/PLM</p><p>·       Should have experience in SAP PDM/PLM solution delivery with responsibilities at various end-end solution delivery levels</p><p>·       Sound knowledge of new features, process and SAP best practices in S/4HANA and able to articulate the impact in business of the new concepts for Design to Operate (R&amp;D engineering, change management, hand-over to manufacturing)</p><p>·       Knowledge of integration across different PLM products with SAP PLM/PDM with functional and technical capabilities including scenarios like(ETO, MTO etc)</p><p>·       Provide best possible solution options with pros and cons for each solution and recommend a best-fit solution that demonstrate business values</p><p>·       Must be able to understand the Requirements and prepare a design document for the Development.</p><p>·       Must understand the existing solution and all frameworks used to build in order to enhance features</p><p> </p></body></html>",Bengaluru
1733,"<html><body><p>1.      Process Planning of Insulator assembly, center electrode and panat manufacturing in NhP2 and support for Extended work bench at Hassan.(may require to stay at Hassan for a short duration like 3 or 4 days whenever required)</p><p>2.      Process Planning support at supplier for new component type establishment like KEL or transfer of process to supplier</p><p>3.      RPP, IDC reduction, Investment fulfilment for Insulator assembly and Center electrode</p><p>4.      Process relocation from IPN plant to India (NhP2 or Hassan)</p><p>5.      Ensuring frequent FMEA reviews, Process revalidation, Process capabilities</p><p>6.      Productivity improvement through VT ratio projects, process improvements</p><p>7.      Layout optimization, TEC calculations</p></body></html>",Bengaluru
